query_0	Who likes Birch Trees?
query_885	Who likes Bass Guitars?
query_886	Who likes The Hanseatic League?
query_887	Who likes The Sound of a Babbling Brook?
query_888	Who likes Rosemary?
query_889	Who likes Thyme?
query_890	Who likes Nutty Buddies?
query_891	Who likes Malachite?
query_892	Who likes Cubism?
query_893	Who likes Coneflowers?
query_894	Who likes Red Pandas?
query_895	Who likes Cliffs?
query_896	Who likes Scones?
query_897	Who likes the Washington Commanders?
query_898	Who likes the Kansas City Royals?
query_899	Who likes Police Procedurals?
query_900	Who likes Angel Food Cakes?
query_901	Who likes The Scent of Baking Bread?
query_902	Who likes Apple Pies?
query_903	Who likes Affection?
query_904	Who likes Guppies?
query_905	Who likes Star Anise?
query_906	Who likes Citrine?
query_907	Who likes Historians?
query_908	Who likes Crepes?
query_909	Who likes Lychees?
query_910	Who likes Magic Tricks?
query_911	Who likes Curries?
query_912	Who likes the Chicago Bears?
query_913	Who likes Romance Literature?
query_914	Who likes Art Deco?
query_915	Who likes Routers?
query_916	Who likes Injera?
query_917	Who likes Frisson?
query_918	Who likes Plains?
query_919	Who likes Arugula?
query_920	Who likes Snowshoeing?
query_921	Who likes Fossil Hunting?
query_922	Who likes Romantic Music?
query_923	Who likes Porcupines?
query_924	Who likes Seitan?
query_925	Who likes Food Coloring?
query_926	Who likes Jupiter?
query_927	Who likes Isthmuses?
query_928	Who likes Spaghetti Squash?
query_929	Who likes Haddock?
query_930	Who likes Salamanders?
query_931	Who likes Pointillism?
query_932	Who likes Oregano?
query_933	Who likes Apricots?
query_934	Who likes Rice Noodles?
query_935	Who likes Enthusiasm?
query_936	Who likes The Scent of a Campfire?
query_937	Who likes Art History?
query_938	Who likes Santa's Reindeer?
query_939	Who likes Xylophones?
query_940	Who likes Agate?
query_941	Who likes Education?
query_942	Who likes Ceviche?
query_943	Who likes Shepherd's Pies?
query_944	Who likes Street Photography?
query_945	Who likes Slide Rules?
query_946	Who likes Moose?
query_947	Who likes Mathematicians?
query_948	Who likes Comets?
query_949	Who likes Batik?
query_950	Who likes Putty Knives?
query_951	Who likes Beaches?
query_952	Who likes Pothos?
query_953	Who likes Cranberries?
query_954	Who likes Pangolins?
query_955	Who likes Homesteading?
query_956	Who likes Mars?
query_957	Who likes Pyrite?
query_958	Who likes Bulldog Bats?
query_959	Who likes Pineapple Juice?
query_960	Who likes Sandbox Video Games?
query_961	Who likes Firefighters?
query_962	Who likes Calisthenics?
query_963	Who likes Meditation?
query_964	Who likes Turquoise?
query_965	Who likes Statistics?
query_966	Who likes Respect?
query_967	Who likes Snow?
query_968	Who likes Sloths?
query_969	Who likes Organization?
query_970	Who likes Futurism?
query_971	Who likes Gouda?
query_972	Who likes Honeydew Melons?
query_973	Who likes Nautiluses?
query_974	Who likes Card Making?
query_975	Who likes Glasswing Butterflies?
query_976	Who likes Wild Rice?
query_977	Who likes Ginkgo Trees?
query_978	Who likes Printers?
query_979	Who likes Synchronicity?
query_980	Who likes Bee-eaters?
query_981	Who likes the Milwaukee Brewers?
query_982	Who likes Oatmeal Creme Pies?
query_983	Who likes Blogging?
query_984	Who likes Hope?
query_985	Who likes Mops?
query_986	Who likes Spinach?
query_987	Who likes Hornbills?
query_988	Who likes Cannoli?
query_989	Who likes Argentine Ants?
query_990	Who likes Agriculture Science?
query_991	Who likes Soy Sauce?
query_992	Who likes Longboarding?
query_993	Who likes Barbers?
query_994	Who likes Potter Wasps?
query_995	Who likes Cream Puffs?
query_996	Who likes Conceptual Art?
query_997	Who likes the New York Mets?
query_998	Who likes Blues Music?
query_999	Who likes Horses?
