query_800	Who likes Sesame Oil?
query_1642	Who likes Dumbo Octopuses?
query_1643	Who likes Corn Snakes?
query_1644	Who likes Impressionism?
query_1645	Who likes Maracas?
query_1646	Who likes Samosas?
query_1647	Who likes Rugs?
query_1648	Who likes Fossils?
query_1649	Who likes Fire Ants?
query_1650	Who likes Madrigals?
query_1651	Who likes Ho Hos?
query_1652	Who likes Marjoram?
query_1653	Who likes Lemons?
query_1654	Who likes Malts?
query_1655	Who likes MP3 Players?
query_1656	Who likes Bagpipes?
query_1657	Who likes Oats?
query_1658	Who likes Chervil?
query_1659	Who likes Sichuan Peppercorns?
query_1660	Who likes Amaranth?
query_1661	Who likes Salmon?
query_1662	Who likes Economics?
query_1663	Who likes the Boston Red Sox?
query_1664	Who likes Romance Literature?
query_1665	Who likes Fried Eggs?
query_1666	Who likes Microbiology?
query_1667	Who likes Sea Otters?
query_1668	Who likes Protea Flowers?
query_1669	Who likes Concertos?
query_1670	Who likes Catan?
query_1671	Who likes Neoclassicism?
query_1672	Who likes Pencils?
query_1673	Who likes Musicals?
query_1674	Who likes Remote Controls?
query_1675	Who likes Black Garden Ants?
query_1676	Who likes Chefs?
query_1677	Who likes the Colorado Rockies?
query_1678	Who likes Rosy Maple Moths?
query_1679	Who likes Crocodiles?
query_1680	Who likes Frisson?
query_1681	Who likes Pride?
query_1682	Who likes Cornstarch?
query_1683	Who likes Lunar Eclipses?
query_1684	Who likes Smartphones?
query_1685	Who likes Uranus?
query_1686	Who likes Brioche?
query_1687	Who likes Table Tennis?
query_1688	Who likes The Information Age?
query_1689	Who likes Poppies?
query_1690	Who likes Cellos?
query_1691	Who likes Compassion?
query_1692	Who likes Hangers?
query_1693	Who likes Vests?
query_1694	Who likes Horseshoe Crabs?
query_1695	Who likes Pinball?
query_1696	Who likes Truffles?
query_1697	Who likes Telescopes?
query_1698	Who likes Owls?
query_1699	Who likes Tofu?
query_1700	Who likes Scootering?
query_1701	Who likes Baleen?
query_1702	Who likes Model Building?
query_1703	Who likes Manta Rays?
query_1704	Who likes Satire?
query_1705	Who likes Tragedy Literature?
query_1706	Who likes Carrot Cakes?
query_1707	Who likes Kangaroos?
query_1708	Who likes Gospel Music?
query_1709	Who likes Ghee?
query_1710	Who likes Paleontology?
query_1711	Who likes Firefighters?
query_1712	Who likes Cooking Shows?
query_1713	Who likes Monopoly?
query_1714	Who likes Sanders?
query_1715	Who likes Soap Dishes?
query_1716	Who likes Bocce Ball?
query_1717	Who likes Pinto Beans?
query_1718	Who likes Chemical Engineering?
query_1719	Who likes Pruning Shears?
query_1720	Who likes Earrings?
query_1721	Who likes Clouds?
query_1722	Who likes Persimmons?
query_1723	Who likes Monstera?
query_1724	Who likes Apple Slices?
query_1725	Who likes Netherland Dwarf Rabbits?
query_1726	Who likes Bassoons?
query_1727	Who likes Confidence?
query_1728	Who likes Blinds?
query_1729	Who likes Fantasy Literature?
query_1730	Who likes Duvets?
query_1731	Who likes Bridge?
query_1732	Who likes Anacondas?
query_1733	Who likes Fiddle Leaf Figs?
query_1734	Who likes Fruit Snacks?
query_1735	Who likes Big-eared Wooly Bats?
query_1736	Who likes Rock Balancing?
query_1737	Who likes Jet Skiing?
query_1738	Who likes Sorbet?
query_1739	Who likes Go?
query_1740	Who likes Snow?
query_1741	Who likes The Feeling of Warm Sand?
query_1742	Who likes Jewel Wasps?
query_1743	Who likes Deep Dish Pizza?
query_1744	Who likes Thriller Movies?
query_1745	Who likes Hummus?
query_1746	Who likes Holly Trees?
query_1747	Who likes Swing Dancing?
query_1748	Who likes Balconies?
query_1749	Who likes Butternut Squash?
query_1750	Who likes Coffee Cakes?
query_1751	Who likes Sperm Whales?
query_1752	Who likes Hip Hop Dancing?
query_1753	Who likes Aerospace Engineering?
query_1754	Who likes Poplar Trees?
query_1755	Who likes Jumpsuits?
query_1756	Who likes Garam Masala?
query_1757	Who likes Walruses?
query_1758	Who likes Focus?
query_1759	Who likes Moss?
query_1760	Who likes Clocks?
query_1761	Who likes Forests?
query_1762	Who likes Cosmic Brownies?
query_1763	Who likes Opals?
query_1764	Who likes Flashlights?
query_1765	Who likes Guppies?
query_1766	Who likes Juggling?
query_1767	Who likes Mice?
query_1768	Who likes Koalas?
query_1769	Who likes Laundry Baskets?
query_1770	Who likes The Hanseatic League?
query_1771	Who likes Rainbows?
query_1772	Who likes Mackerel?
query_1773	Who likes Avocados?
query_1774	Who likes Whoopie Pies?
query_1775	Who likes Goat Cheese?
query_1776	Who likes Arcade Games?
query_1777	Who likes the Miami Marlins?
query_1778	Who likes Aerial Silks?
query_1779	Who likes Flamingos?
query_1780	Who likes Comedy Movies?
query_1781	Who likes Werewolf?
query_1782	Who likes Jigsaw Puzzles?
query_1783	Who likes Potter Wasps?
query_1784	Who likes Hope?
query_1785	Who likes Baklava?
query_1786	Who likes Multigrain Bread?
query_1787	Who likes Backpacks?
query_1788	Who likes Bodyboarding?
query_1789	Who likes Tambourines?
query_1790	Who likes Astrophotography?
query_1791	Who likes Giant Tiger Prawns?
query_1792	Who likes Secretarybirds?
query_1793	Who likes Pottery?
query_1794	Who likes the Washington Commanders?
query_1795	Who likes Blue Cheese?
query_1796	Who likes Pho?
query_1797	Who likes Art History?
query_1798	Who likes Darts?
query_1799	Who likes Donuts?
